"","Country_Region","Province_State","date","confirmed","deaths","recovered","active"
"1"," Azerbaijan","",2020-02-28,1,0,0,NA
"2","Afghanistan","",2020-02-24,1,0,0,NA
"3","Afghanistan","",2020-02-25,1,0,0,NA
"4","Afghanistan","",2020-02-26,1,0,0,NA
"5","Afghanistan","",2020-02-27,1,0,0,NA
"6","Afghanistan","",2020-02-28,1,0,0,NA
"7","Afghanistan","",2020-02-29,1,0,0,NA
"8","Afghanistan","",2020-03-01,1,0,0,NA
"9","Afghanistan","",2020-03-02,1,0,0,NA
"10","Afghanistan","",2020-03-03,1,0,0,NA
"11","Afghanistan","",2020-03-04,1,0,0,NA
"12","Afghanistan","",2020-03-05,1,0,0,NA
"13","Afghanistan","",2020-03-06,1,0,0,NA
"14","Afghanistan","",2020-03-07,1,0,0,NA
"15","Afghanistan","",2020-03-08,4,0,0,NA
"16","Afghanistan","",2020-03-09,4,0,0,NA
"17","Afghanistan","",2020-03-10,5,0,0,NA
"18","Afghanistan","",2020-03-11,7,0,0,NA
"19","Afghanistan","",2020-03-12,7,0,0,NA
"20","Afghanistan","",2020-03-13,7,0,0,NA
"21","Afghanistan","",2020-03-14,11,0,0,NA
"22","Afghanistan","",2020-03-15,16,0,0,NA
"23","Afghanistan","",2020-03-16,21,0,1,NA
"24","Afghanistan","",2020-03-17,22,0,1,NA
"25","Afghanistan","",2020-03-18,22,0,1,NA
"26","Afghanistan","",2020-03-19,22,0,1,NA
"27","Afghanistan","",2020-03-20,24,0,1,NA
"28","Afghanistan","",2020-03-21,24,0,1,NA
"29","Afghanistan","",2020-03-22,40,1,1,38
"30","Afghanistan","",2020-03-23,40,1,1,38
"31","Afghanistan","",2020-03-24,74,1,1,72
"32","Afghanistan","",2020-03-25,84,2,2,80
"33","Albania","",2020-03-09,2,0,0,NA
"34","Albania","",2020-03-10,10,0,0,NA
"35","Albania","",2020-03-11,12,1,0,NA
"36","Albania","",2020-03-12,23,1,0,NA
"37","Albania","",2020-03-13,33,1,0,NA
"38","Albania","",2020-03-14,38,1,0,NA
"39","Albania","",2020-03-15,42,1,0,NA
"40","Albania","",2020-03-16,51,1,0,NA
"41","Albania","",2020-03-17,55,1,0,NA
"42","Albania","",2020-03-18,59,2,0,NA
"43","Albania","",2020-03-19,64,2,0,NA
"44","Albania","",2020-03-20,70,2,0,NA
"45","Albania","",2020-03-21,76,2,2,NA
"46","Albania","",2020-03-22,89,2,2,85
"47","Albania","",2020-03-23,104,4,2,98
"48","Albania","",2020-03-24,123,5,10,108
"49","Albania","",2020-03-25,146,5,17,124
"50","Algeria","",2020-02-25,1,0,0,NA
"51","Algeria","",2020-02-26,1,0,0,NA
"52","Algeria","",2020-02-27,1,0,0,NA
"53","Algeria","",2020-02-28,1,0,0,NA
"54","Algeria","",2020-02-29,1,0,0,NA
"55","Algeria","",2020-03-01,1,0,0,NA
"56","Algeria","",2020-03-02,3,0,0,NA
"57","Algeria","",2020-03-03,5,0,0,NA
"58","Algeria","",2020-03-04,12,0,0,NA
"59","Algeria","",2020-03-05,12,0,0,NA
"60","Algeria","",2020-03-06,17,0,0,NA
"61","Algeria","",2020-03-07,17,0,0,NA
"62","Algeria","",2020-03-08,19,0,0,NA
"63","Algeria","",2020-03-09,20,0,0,NA
"64","Algeria","",2020-03-10,20,0,0,NA
"65","Algeria","",2020-03-11,20,0,0,NA
"66","Algeria","",2020-03-12,24,1,8,NA
"67","Algeria","",2020-03-13,26,2,8,NA
"68","Algeria","",2020-03-14,37,3,12,NA
"69","Algeria","",2020-03-15,48,4,12,NA
"70","Algeria","",2020-03-16,54,4,12,NA
"71","Algeria","",2020-03-17,60,4,12,NA
"72","Algeria","",2020-03-18,74,7,12,NA
"73","Algeria","",2020-03-19,87,9,32,NA
"74","Algeria","",2020-03-20,90,11,32,NA
"75","Algeria","",2020-03-21,139,15,32,NA
"76","Algeria","",2020-03-22,201,17,65,119
"77","Algeria","",2020-03-23,230,17,65,148
"78","Algeria","",2020-03-24,264,19,24,221
"79","Algeria","",2020-03-25,302,21,65,216
"80","Andorra","",2020-03-02,1,0,0,NA
"81","Andorra","",2020-03-03,1,0,0,NA
"82","Andorra","",2020-03-04,1,0,0,NA
"83","Andorra","",2020-03-05,1,0,0,NA
"84","Andorra","",2020-03-06,1,0,0,NA
"85","Andorra","",2020-03-07,1,0,0,NA
"86","Andorra","",2020-03-08,1,0,0,NA
"87","Andorra","",2020-03-09,1,0,0,NA
"88","Andorra","",2020-03-10,1,0,0,NA
"89","Andorra","",2020-03-11,1,0,0,NA
"90","Andorra","",2020-03-12,1,0,1,NA
"91","Andorra","",2020-03-13,1,0,0,NA
"92","Andorra","",2020-03-14,1,0,1,NA
"93","Andorra","",2020-03-15,1,0,1,NA
"94","Andorra","",2020-03-16,2,0,1,NA
"95","Andorra","",2020-03-17,39,0,1,NA
"96","Andorra","",2020-03-18,39,0,1,NA
"97","Andorra","",2020-03-19,53,0,1,NA
"98","Andorra","",2020-03-20,75,0,1,NA
"99","Andorra","",2020-03-21,88,0,1,NA
"100","Andorra","",2020-03-22,113,1,1,111
"101","Andorra","",2020-03-23,133,1,1,131
"102","Andorra","",2020-03-24,164,1,1,162
"103","Andorra","",2020-03-25,188,1,1,186
"104","Angola","",2020-03-20,1,0,0,NA
"105","Angola","",2020-03-21,2,0,0,NA
"106","Angola","",2020-03-22,2,0,0,2
"107","Angola","",2020-03-23,3,0,0,3
"108","Angola","",2020-03-24,3,0,0,3
"109","Angola","",2020-03-25,3,0,0,3
"110","Antigua and Barbuda","",2020-03-13,1,0,0,NA
"111","Antigua and Barbuda","",2020-03-14,1,0,0,NA
"112","Antigua and Barbuda","",2020-03-15,1,0,0,NA
"113","Antigua and Barbuda","",2020-03-16,1,0,0,NA
"114","Antigua and Barbuda","",2020-03-17,1,0,0,NA
"115","Antigua and Barbuda","",2020-03-18,1,0,0,NA
"116","Antigua and Barbuda","",2020-03-19,1,0,0,NA
"117","Antigua and Barbuda","",2020-03-20,1,0,0,NA
"118","Antigua and Barbuda","",2020-03-21,1,0,0,NA
"119","Antigua and Barbuda","",2020-03-22,1,0,0,1
"120","Antigua and Barbuda","",2020-03-23,3,0,0,3
"121","Antigua and Barbuda","",2020-03-24,3,0,0,3
"122","Antigua and Barbuda","",2020-03-25,3,0,0,3
"123","Argentina","",2020-03-03,1,0,0,NA
"124","Argentina","",2020-03-04,1,0,0,NA
"125","Argentina","",2020-03-05,1,0,0,NA
"126","Argentina","",2020-03-06,2,0,0,NA
"127","Argentina","",2020-03-07,8,0,0,NA
"128","Argentina","",2020-03-08,12,1,0,NA
"129","Argentina","",2020-03-09,12,1,0,NA
"130","Argentina","",2020-03-10,17,1,0,NA
"131","Argentina","",2020-03-11,19,1,0,NA
"132","Argentina","",2020-03-12,19,1,0,NA
"133","Argentina","",2020-03-13,31,2,0,NA
"134","Argentina","",2020-03-14,34,2,1,NA
"135","Argentina","",2020-03-15,45,2,1,NA
"136","Argentina","",2020-03-16,56,2,1,NA
"137","Argentina","",2020-03-17,68,2,3,NA
"138","Argentina","",2020-03-18,79,2,3,NA
"139","Argentina","",2020-03-19,97,3,3,NA
"140","Argentina","",2020-03-20,128,3,3,NA
"141","Argentina","",2020-03-21,158,4,3,NA
"142","Argentina","",2020-03-22,266,4,27,235
"143","Argentina","",2020-03-23,266,4,27,235
"144","Argentina","",2020-03-24,387,6,52,329
"145","Argentina","",2020-03-25,387,8,52,327
"146","Armenia","",2020-03-01,1,0,0,NA
"147","Armenia","",2020-03-02,1,0,0,NA
"148","Armenia","",2020-03-03,1,0,0,NA
"149","Armenia","",2020-03-04,1,0,0,NA
"150","Armenia","",2020-03-05,1,0,0,NA
"151","Armenia","",2020-03-06,1,0,0,NA
"152","Armenia","",2020-03-07,1,0,0,NA
"153","Armenia","",2020-03-08,1,0,0,NA
"154","Armenia","",2020-03-09,1,0,0,NA
"155","Armenia","",2020-03-10,1,0,0,NA
"156","Armenia","",2020-03-11,1,0,0,NA
"157","Armenia","",2020-03-12,4,0,0,NA
"158","Armenia","",2020-03-13,8,0,0,NA
"159","Armenia","",2020-03-14,18,0,0,NA
"160","Armenia","",2020-03-15,26,0,0,NA
"161","Armenia","",2020-03-16,52,0,0,NA
"162","Armenia","",2020-03-17,78,0,1,NA
"163","Armenia","",2020-03-18,84,0,1,NA
"164","Armenia","",2020-03-19,115,0,1,NA
"165","Armenia","",2020-03-20,136,0,1,NA
"166","Armenia","",2020-03-21,160,0,1,NA
"167","Armenia","",2020-03-22,194,0,2,192
"168","Armenia","",2020-03-23,235,0,2,233
"169","Armenia","",2020-03-24,249,0,14,235
"170","Armenia","",2020-03-25,265,0,16,249
"171","Aruba","",2020-03-13,2,0,0,NA
"172","Aruba","",2020-03-14,2,0,0,NA
"173","Aruba","",2020-03-15,2,0,0,NA
"174","Aruba","",2020-03-16,2,0,0,NA
"175","Aruba","",2020-03-17,3,0,0,NA
"176","Aruba","",2020-03-18,4,0,0,NA
"177","Aruba","",2020-03-19,4,0,0,NA
"178","Australia","",2020-01-23,0,0,0,NA
"179","Australia","",2020-01-25,4,0,0,NA
"180","Australia","",2020-01-26,4,0,0,NA
"181","Australia","Australian Capital Territory",2020-03-13,1,0,0,NA
"182","Australia","Australian Capital Territory",2020-03-14,1,0,0,NA
"183","Australia","Australian Capital Territory",2020-03-15,1,0,0,NA
"184","Australia","Australian Capital Territory",2020-03-16,2,0,0,NA
"185","Australia","Australian Capital Territory",2020-03-17,2,0,0,NA
"186","Australia","Australian Capital Territory",2020-03-18,3,0,0,NA
"187","Australia","Australian Capital Territory",2020-03-19,4,0,0,NA
"188","Australia","Australian Capital Territory",2020-03-20,6,0,0,NA
"189","Australia","Australian Capital Territory",2020-03-21,9,0,0,NA
"190","Australia","Australian Capital Territory",2020-03-22,19,0,0,19
"191","Australia","Australian Capital Territory",2020-03-23,32,0,0,32
"192","Australia","Australian Capital Territory",2020-03-24,39,0,0,39
"193","Australia","Australian Capital Territory",2020-03-25,39,0,0,39
"194","Australia","External territories",2020-03-22,0,0,0,0
"195","Australia","From Diamond Princess",2020-02-21,4,0,0,NA
"196","Australia","From Diamond Princess",2020-02-22,7,0,0,NA
"197","Australia","From Diamond Princess",2020-02-23,7,0,0,NA
"198","Australia","From Diamond Princess",2020-02-24,7,0,0,NA
"199","Australia","From Diamond Princess",2020-02-25,7,0,0,NA
"200","Australia","From Diamond Princess",2020-02-26,7,0,0,NA
"201","Australia","From Diamond Princess",2020-02-27,8,0,0,NA
"202","Australia","From Diamond Princess",2020-02-28,8,0,0,NA
"203","Australia","From Diamond Princess",2020-02-29,0,0,0,NA
"204","Australia","From Diamond Princess",2020-03-01,0,0,0,NA
"205","Australia","From Diamond Princess",2020-03-02,0,0,0,NA
"206","Australia","From Diamond Princess",2020-03-03,0,0,0,NA
"207","Australia","From Diamond Princess",2020-03-04,0,0,0,NA
"208","Australia","From Diamond Princess",2020-03-05,0,0,0,NA
"209","Australia","From Diamond Princess",2020-03-06,0,0,0,NA
"210","Australia","From Diamond Princess",2020-03-07,0,0,0,NA
"211","Australia","From Diamond Princess",2020-03-08,0,0,0,NA
"212","Australia","From Diamond Princess",2020-03-09,0,0,0,NA
"213","Australia","From Diamond Princess",2020-03-10,0,0,0,NA
"214","Australia","From Diamond Princess",2020-03-11,0,0,0,NA
"215","Australia","From Diamond Princess",2020-03-12,0,0,0,NA
"216","Australia","From Diamond Princess",2020-03-13,0,0,0,NA
"217","Australia","From Diamond Princess",2020-03-14,0,0,0,NA
"218","Australia","From Diamond Princess",2020-03-15,0,0,0,NA
"219","Australia","From Diamond Princess",2020-03-16,0,0,0,NA
"220","Australia","From Diamond Princess",2020-03-17,0,0,0,NA
"221","Australia","From Diamond Princess",2020-03-18,0,0,0,NA
"222","Australia","From Diamond Princess",2020-03-19,0,0,0,NA
"223","Australia","From Diamond Princess",2020-03-20,0,0,0,NA
"224","Australia","From Diamond Princess",2020-03-21,0,0,0,NA
"225","Australia","Jervis Bay Territory",2020-03-22,0,0,0,0
"226","Australia","New South Wales",2020-01-27,4,0,0,NA
"227","Australia","New South Wales",2020-01-28,4,0,0,NA
"228","Australia","New South Wales",2020-01-29,4,0,0,NA
"229","Australia","New South Wales",2020-01-30,4,0,2,NA
"230","Australia","New South Wales",2020-01-31,4,0,2,NA
"231","Australia","New South Wales",2020-02-01,4,0,2,NA
"232","Australia","New South Wales",2020-02-02,4,0,2,NA
"233","Australia","New South Wales",2020-02-03,4,0,2,NA
"234","Australia","New South Wales",2020-02-04,4,0,2,NA
"235","Australia","New South Wales",2020-02-05,4,0,2,NA
"236","Australia","New South Wales",2020-02-06,4,0,2,NA
"237","Australia","New South Wales",2020-02-07,4,0,2,NA
"238","Australia","New South Wales",2020-02-08,4,0,2,NA
"239","Australia","New South Wales",2020-02-09,4,0,2,NA
"240","Australia","New South Wales",2020-02-10,4,0,2,NA
"241","Australia","New South Wales",2020-02-11,4,0,2,NA
"242","Australia","New South Wales",2020-02-12,4,0,2,NA
"243","Australia","New South Wales",2020-02-13,4,0,4,NA
"244","Australia","New South Wales",2020-02-14,4,0,4,NA
"245","Australia","New South Wales",2020-02-15,4,0,4,NA
"246","Australia","New South Wales",2020-02-16,4,0,4,NA
"247","Australia","New South Wales",2020-02-17,4,0,4,NA
"248","Australia","New South Wales",2020-02-18,4,0,4,NA
"249","Australia","New South Wales",2020-02-19,4,0,4,NA
"250","Australia","New South Wales",2020-02-20,4,0,4,NA
"251","Australia","New South Wales",2020-02-21,4,0,4,NA
"252","Australia","New South Wales",2020-02-22,4,0,4,NA
"253","Australia","New South Wales",2020-02-23,4,0,4,NA
"254","Australia","New South Wales",2020-02-24,4,0,4,NA
"255","Australia","New South Wales",2020-02-25,4,0,4,NA
"256","Australia","New South Wales",2020-02-26,4,0,4,NA
"257","Australia","New South Wales",2020-02-27,4,0,4,NA
"258","Australia","New South Wales",2020-02-28,4,0,4,NA
"259","Australia","New South Wales",2020-02-29,4,0,4,NA
"260","Australia","New South Wales",2020-03-01,6,0,4,NA
"261","Australia","New South Wales",2020-03-02,6,0,4,NA
"262","Australia","New South Wales",2020-03-03,13,0,4,NA
"263","Australia","New South Wales",2020-03-04,22,1,4,NA
"264","Australia","New South Wales",2020-03-05,22,1,4,NA
"265","Australia","New South Wales",2020-03-06,26,1,4,NA
"266","Australia","New South Wales",2020-03-07,28,1,4,NA
"267","Australia","New South Wales",2020-03-08,38,3,4,NA
"268","Australia","New South Wales",2020-03-09,48,3,4,NA
"269","Australia","New South Wales",2020-03-10,55,2,4,NA
"270","Australia","New South Wales",2020-03-11,65,2,4,NA
"271","Australia","New South Wales",2020-03-12,65,2,4,NA
"272","Australia","New South Wales",2020-03-13,92,2,4,NA
"273","Australia","New South Wales",2020-03-14,112,2,4,NA
"274","Australia","New South Wales",2020-03-15,134,2,4,NA
"275","Australia","New South Wales",2020-03-16,171,2,4,NA
"276","Australia","New South Wales",2020-03-17,210,4,4,NA
"277","Australia","New South Wales",2020-03-18,267,5,4,NA
"278","Australia","New South Wales",2020-03-19,307,5,4,NA
"279","Australia","New South Wales",2020-03-20,353,6,4,NA
"280","Australia","New South Wales",2020-03-21,436,6,4,NA
"281","Australia","New South Wales",2020-03-22,669,6,4,659
"282","Australia","New South Wales",2020-03-23,669,6,4,659
"283","Australia","New South Wales",2020-03-24,818,7,4,807
"284","Australia","New South Wales",2020-03-25,1029,7,4,1018
"285","Australia","Northern Territory",2020-03-04,1,0,0,NA
"286","Australia","Northern Territory",2020-03-05,1,0,0,NA
"287","Australia","Northern Territory",2020-03-06,0,0,0,NA
"288","Australia","Northern Territory",2020-03-07,0,0,0,NA
"289","Australia","Northern Territory",2020-03-08,0,0,0,NA
"290","Australia","Northern Territory",2020-03-09,0,0,0,NA
"291","Australia","Northern Territory",2020-03-10,1,0,0,NA
"292","Australia","Northern Territory",2020-03-11,1,0,0,NA
"293","Australia","Northern Territory",2020-03-12,1,0,0,NA
"294","Australia","Northern Territory",2020-03-13,1,0,0,NA
"295","Australia","Northern Territory",2020-03-14,1,0,0,NA
"296","Australia","Northern Territory",2020-03-15,1,0,0,NA
"297","Australia","Northern Territory",2020-03-16,1,0,0,NA
"298","Australia","Northern Territory",2020-03-17,1,0,0,NA
"299","Australia","Northern Territory",2020-03-18,1,0,0,NA
"300","Australia","Northern Territory",2020-03-19,1,0,0,NA
"301","Australia","Northern Territory",2020-03-20,3,0,0,NA
"302","Australia","Northern Territory",2020-03-21,3,0,0,NA
"303","Australia","Northern Territory",2020-03-22,5,0,0,5
"304","Australia","Northern Territory",2020-03-23,5,0,0,5
"305","Australia","Northern Territory",2020-03-24,6,0,0,6
"306","Australia","Northern Territory",2020-03-25,6,0,0,6
"307","Australia","Queensland",2020-01-30,3,0,0,NA
"308","Australia","Queensland",2020-01-31,2,0,0,NA
"309","Australia","Queensland",2020-02-01,3,0,0,NA
"310","Australia","Queensland",2020-02-02,2,0,0,NA
"311","Australia","Queensland",2020-02-03,2,0,0,NA
"312","Australia","Queensland",2020-02-04,3,0,0,NA
"313","Australia","Queensland",2020-02-05,3,0,0,NA
"314","Australia","Queensland",2020-02-06,4,0,0,NA
"315","Australia","Queensland",2020-02-07,5,0,0,NA
"316","Australia","Queensland",2020-02-08,5,0,0,NA
"317","Australia","Queensland",2020-02-09,5,0,0,NA
"318","Australia","Queensland",2020-02-10,5,0,0,NA
"319","Australia","Queensland",2020-02-11,5,0,0,NA
"320","Australia","Queensland",2020-02-12,5,0,0,NA
"321","Australia","Queensland",2020-02-13,5,0,0,NA
"322","Australia","Queensland",2020-02-14,5,0,0,NA
"323","Australia","Queensland",2020-02-15,5,0,0,NA
"324","Australia","Queensland",2020-02-16,5,0,0,NA
"325","Australia","Queensland",2020-02-17,5,0,0,NA
"326","Australia","Queensland",2020-02-18,5,0,0,NA
"327","Australia","Queensland",2020-02-19,5,0,0,NA
"328","Australia","Queensland",2020-02-20,5,0,0,NA
"329","Australia","Queensland",2020-02-21,5,0,1,NA
"330","Australia","Queensland",2020-02-22,5,0,1,NA
"331","Australia","Queensland",2020-02-23,5,0,1,NA
"332","Australia","Queensland",2020-02-24,5,0,1,NA
"333","Australia","Queensland",2020-02-25,5,0,1,NA
"334","Australia","Queensland",2020-02-26,5,0,1,NA
"335","Australia","Queensland",2020-02-27,5,0,1,NA
"336","Australia","Queensland",2020-02-28,5,0,1,NA
"337","Australia","Queensland",2020-02-29,9,0,1,NA
"338","Australia","Queensland",2020-03-01,9,0,1,NA
"339","Australia","Queensland",2020-03-02,9,0,1,NA
"340","Australia","Queensland",2020-03-03,11,0,1,NA
"341","Australia","Queensland",2020-03-04,11,0,1,NA
"342","Australia","Queensland",2020-03-05,13,0,8,NA
"343","Australia","Queensland",2020-03-06,13,0,8,NA
"344","Australia","Queensland",2020-03-07,13,0,8,NA
"345","Australia","Queensland",2020-03-08,15,0,8,NA
"346","Australia","Queensland",2020-03-09,15,0,8,NA
"347","Australia","Queensland",2020-03-10,18,0,8,NA
"348","Australia","Queensland",2020-03-11,20,0,8,NA
"349","Australia","Queensland",2020-03-12,20,0,8,NA
"350","Australia","Queensland",2020-03-13,35,0,8,NA
"351","Australia","Queensland",2020-03-14,46,0,8,NA
"352","Australia","Queensland",2020-03-15,61,0,8,NA
"353","Australia","Queensland",2020-03-16,68,0,8,NA
"354","Australia","Queensland",2020-03-17,78,0,8,NA
"355","Australia","Queensland",2020-03-18,94,0,8,NA
"356","Australia","Queensland",2020-03-19,144,0,8,NA
"357","Australia","Queensland",2020-03-20,184,0,8,NA
"358","Australia","Queensland",2020-03-21,221,0,8,NA
"359","Australia","Queensland",2020-03-22,259,0,8,251
"360","Australia","Queensland",2020-03-23,319,0,8,311
"361","Australia","Queensland",2020-03-24,397,0,8,389
"362","Australia","Queensland",2020-03-25,443,0,8,435
"363","Australia","South Australia",2020-02-01,1,0,0,NA
"364","Australia","South Australia",2020-02-02,2,0,0,NA
"365","Australia","South Australia",2020-02-03,2,0,0,NA
"366","Australia","South Australia",2020-02-04,2,0,0,NA
"367","Australia","South Australia",2020-02-05,2,0,0,NA
"368","Australia","South Australia",2020-02-06,2,0,0,NA
"369","Australia","South Australia",2020-02-07,2,0,0,NA
"370","Australia","South Australia",2020-02-08,2,0,0,NA
"371","Australia","South Australia",2020-02-09,2,0,0,NA
"372","Australia","South Australia",2020-02-10,2,0,0,NA
"373","Australia","South Australia",2020-02-11,2,0,0,NA
"374","Australia","South Australia",2020-02-12,2,0,0,NA
"375","Australia","South Australia",2020-02-13,2,0,0,NA
"376","Australia","South Australia",2020-02-14,2,0,0,NA
"377","Australia","South Australia",2020-02-15,2,0,0,NA
"378","Australia","South Australia",2020-02-16,2,0,0,NA
"379","Australia","South Australia",2020-02-17,2,0,2,NA
"380","Australia","South Australia",2020-02-18,2,0,2,NA
"381","Australia","South Australia",2020-02-19,2,0,2,NA
"382","Australia","South Australia",2020-02-20,2,0,2,NA
"383","Australia","South Australia",2020-02-21,2,0,2,NA
"384","Australia","South Australia",2020-02-22,2,0,2,NA
"385","Australia","South Australia",2020-02-23,2,0,2,NA
"386","Australia","South Australia",2020-02-24,2,0,2,NA
"387","Australia","South Australia",2020-02-25,2,0,2,NA
"388","Australia","South Australia",2020-02-26,2,0,2,NA
"389","Australia","South Australia",2020-02-27,2,0,2,NA
"390","Australia","South Australia",2020-02-28,2,0,2,NA
"391","Australia","South Australia",2020-02-29,3,0,2,NA
"392","Australia","South Australia",2020-03-01,3,0,2,NA
"393","Australia","South Australia",2020-03-02,3,0,2,NA
"394","Australia","South Australia",2020-03-03,3,0,2,NA
"395","Australia","South Australia",2020-03-04,5,0,2,NA
"396","Australia","South Australia",2020-03-05,5,0,2,NA
"397","Australia","South Australia",2020-03-06,7,0,2,NA
"398","Australia","South Australia",2020-03-07,7,0,2,NA
"399","Australia","South Australia",2020-03-08,7,0,2,NA
"400","Australia","South Australia",2020-03-09,7,0,2,NA
"401","Australia","South Australia",2020-03-10,7,0,2,NA
"402","Australia","South Australia",2020-03-11,9,0,2,NA
"403","Australia","South Australia",2020-03-12,9,0,2,NA
"404","Australia","South Australia",2020-03-13,16,0,3,NA
"405","Australia","South Australia",2020-03-14,19,0,3,NA
"406","Australia","South Australia",2020-03-15,20,0,3,NA
"407","Australia","South Australia",2020-03-16,29,0,3,NA
"408","Australia","South Australia",2020-03-17,29,0,3,NA
"409","Australia","South Australia",2020-03-18,37,0,3,NA
"410","Australia","South Australia",2020-03-19,42,0,3,NA
"411","Australia","South Australia",2020-03-20,50,0,3,NA
"412","Australia","South Australia",2020-03-21,67,0,3,NA
"413","Australia","South Australia",2020-03-22,100,0,6,94
"414","Australia","South Australia",2020-03-23,134,0,6,128
"415","Australia","South Australia",2020-03-24,170,0,6,164
"416","Australia","South Australia",2020-03-25,170,0,6,164
"417","Australia","Tasmania",2020-03-02,1,0,0,NA
"418","Australia","Tasmania",2020-03-03,1,0,0,NA
"419","Australia","Tasmania",2020-03-04,1,0,0,NA
"420","Australia","Tasmania",2020-03-05,1,0,0,NA
"421","Australia","Tasmania",2020-03-06,1,0,0,NA
"422","Australia","Tasmania",2020-03-07,1,0,0,NA
"423","Australia","Tasmania",2020-03-08,2,0,0,NA
"424","Australia","Tasmania",2020-03-09,2,0,0,NA
"425","Australia","Tasmania",2020-03-10,2,0,0,NA
"426","Australia","Tasmania",2020-03-11,3,0,0,NA
"427","Australia","Tasmania",2020-03-12,3,0,0,NA
"428","Australia","Tasmania",2020-03-13,5,0,0,NA
"429","Australia","Tasmania",2020-03-14,5,0,0,NA
"430","Australia","Tasmania",2020-03-15,6,0,0,NA
"431","Australia","Tasmania",2020-03-16,7,0,0,NA
"432","Australia","Tasmania",2020-03-17,7,0,0,NA
"433","Australia","Tasmania",2020-03-18,10,0,0,NA
"434","Australia","Tasmania",2020-03-19,10,0,3,NA
"435","Australia","Tasmania",2020-03-20,10,0,3,NA
"436","Australia","Tasmania",2020-03-21,16,0,3,NA
"437","Australia","Tasmania",2020-03-22,22,0,3,19
"438","Australia","Tasmania",2020-03-23,28,0,3,25
"439","Australia","Tasmania",2020-03-24,28,0,3,25
"440","Australia","Tasmania",2020-03-25,36,0,3,33
"441","Australia","Victoria",2020-01-27,1,0,0,NA
"442","Australia","Victoria",2020-01-28,1,0,0,NA
"443","Australia","Victoria",2020-01-29,1,0,0,NA
"444","Australia","Victoria",2020-01-30,2,0,0,NA
"445","Australia","Victoria",2020-01-31,3,0,0,NA
"446","Australia","Victoria",2020-02-01,4,0,0,NA
"447","Australia","Victoria",2020-02-02,4,0,0,NA
"448","Australia","Victoria",2020-02-03,4,0,0,NA
"449","Australia","Victoria",2020-02-04,4,0,0,NA
"450","Australia","Victoria",2020-02-05,4,0,0,NA
"451","Australia","Victoria",2020-02-06,4,0,0,NA
"452","Australia","Victoria",2020-02-07,4,0,0,NA
"453","Australia","Victoria",2020-02-08,4,0,0,NA
"454","Australia","Victoria",2020-02-09,4,0,0,NA
"455","Australia","Victoria",2020-02-10,4,0,0,NA
"456","Australia","Victoria",2020-02-11,4,0,0,NA
"457","Australia","Victoria",2020-02-12,4,0,0,NA
"458","Australia","Victoria",2020-02-13,4,0,4,NA
"459","Australia","Victoria",2020-02-14,4,0,4,NA
"460","Australia","Victoria",2020-02-15,4,0,4,NA
"461","Australia","Victoria",2020-02-16,4,0,4,NA
"462","Australia","Victoria",2020-02-17,4,0,4,NA
"463","Australia","Victoria",2020-02-18,4,0,4,NA
"464","Australia","Victoria",2020-02-19,4,0,4,NA
"465","Australia","Victoria",2020-02-20,4,0,4,NA
"466","Australia","Victoria",2020-02-21,4,0,4,NA
"467","Australia","Victoria",2020-02-22,4,0,4,NA
"468","Australia","Victoria",2020-02-23,4,0,4,NA
"469","Australia","Victoria",2020-02-24,4,0,4,NA
"470","Australia","Victoria",2020-02-25,4,0,4,NA
"471","Australia","Victoria",2020-02-26,4,0,4,NA
"472","Australia","Victoria",2020-02-27,4,0,4,NA
"473","Australia","Victoria",2020-02-28,4,0,4,NA
"474","Australia","Victoria",2020-02-29,7,0,4,NA
"475","Australia","Victoria",2020-03-01,7,0,4,NA
"476","Australia","Victoria",2020-03-02,9,0,4,NA
"477","Australia","Victoria",2020-03-03,9,0,4,NA
"478","Australia","Victoria",2020-03-04,10,0,4,NA
"479","Australia","Victoria",2020-03-05,10,0,7,NA
"480","Australia","Victoria",2020-03-06,10,0,7,NA
"481","Australia","Victoria",2020-03-07,11,0,7,NA
"482","Australia","Victoria",2020-03-08,11,0,7,NA
"483","Australia","Victoria",2020-03-09,15,0,7,NA
"484","Australia","Victoria",2020-03-10,18,0,7,NA
"485","Australia","Victoria",2020-03-11,21,0,7,NA
"486","Australia","Victoria",2020-03-12,21,0,7,NA
"487","Australia","Victoria",2020-03-13,36,0,8,NA
"488","Australia","Victoria",2020-03-14,49,0,8,NA
"489","Australia","Victoria",2020-03-15,57,0,8,NA
"490","Australia","Victoria",2020-03-16,71,0,8,NA
"491","Australia","Victoria",2020-03-17,94,0,8,NA
"492","Australia","Victoria",2020-03-18,121,0,8,NA
"493","Australia","Victoria",2020-03-19,121,0,8,NA
"494","Australia","Victoria",2020-03-20,121,0,8,NA
"495","Australia","Victoria",2020-03-21,229,0,8,NA
"496","Australia","Victoria",2020-03-22,296,0,70,226
"497","Australia","Victoria",2020-03-23,355,0,97,258
"498","Australia","Victoria",2020-03-24,411,0,97,314
"499","Australia","Victoria",2020-03-25,466,0,97,369
"500","Australia","Western Australia",2020-02-29,2,0,0,NA
"501","Australia","Western Australia",2020-03-01,2,1,0,NA
"502","Australia","Western Australia",2020-03-02,2,1,0,NA
"503","Australia","Western Australia",2020-03-03,2,1,0,NA
"504","Australia","Western Australia",2020-03-04,2,1,0,NA
